Chr	BIN_START	BIN_END	y
Chr6	64250001	64300000	0.832349
Chr6	64300001	64350000	0.854679
Chr6	64350001	64400000	0.878877
Chr6	67450001	67500000	0.808594
Chr6	69500001	69550000	0.810324
Chr6	71750001	71800000	0.827586
Chr6	72000001	72050000	0.83691
Chr6	72100001	72150000	0.825
Chr6	80400001	80450000	0.806232
Chr6	83950001	84000000	0.89313
Chr6	84000001	84050000	0.88388
Chr6	86600001	86650000	0.823703
Chr6	87800001	87850000	0.813602
Chr6	87900001	87950000	0.818182
Chr6	90600001	90650000	0.892241
Chr6	90650001	90700000	0.83727
Chr6	98350001	98400000	0.815282
Chr6	105500001	105550000	0.84571
Chr6	120100001	120150000	0.853705
Chr6	120150001	120200000	0.827862
Chr6	129450001	129500000	0.836957
Chr6	138350001	138400000	0.853211
Chr6	138400001	138450000	0.857494
Chr6	138450001	138500000	0.804049
Chr6	138900001	138950000	0.801047
Chr6	139150001	139200000	0.847222
Chr6	152900001	152950000	0.84082
Chr6	175900001	175950000	0.985401
Chr6	175950001	176000000	0.903743
Chr6	176000001	176050000	0.809414
Chr7	20300001	20350000	0.800281
Chr7	20750001	20800000	0.832911
Chr7	21850001	21900000	0.80137
Chr7	26700001	26750000	0.845601
Chr7	33400001	33450000	0.835838
Chr7	35150001	35200000	0.893816
Chr7	54900001	54950000	0.851735
Chr7	54950001	55000000	0.879566
Chr7	55000001	55050000	0.851163
Chr7	55050001	55100000	0.955157
Chr7	55200001	55250000	0.801325
Chr7	55250001	55300000	0.920792
Chr7	64000001	64050000	0.842017
Chr7	69500001	69550000	0.853736
Chr7	69750001	69800000	0.802657
Chr7	89150001	89200000	0.872135
Chr7	97550001	97600000	0.801047
Chr7	98350001	98400000	0.803473
Chr7	98400001	98450000	0.835616
Chr7	99150001	99200000	0.855759
Chr7	102300001	102350000	0.825371
Chr7	113450001	113500000	0.817021
Chr7	113500001	113550000	0.868726
Chr7	123050001	123100000	0.861782
Chr7	123750001	123800000	0.871096
Chr7	123800001	123850000	0.921708
Chr7	123850001	123900000	0.899736
Chr7	123900001	123950000	0.905155
Chr7	123950001	124000000	0.94235
Chr7	129400001	129450000	0.889655
Chr7	129600001	129650000	0.848142
Chr7	129750001	129800000	0.846154
Chr7	129800001	129850000	0.86451
Chr7	129900001	129950000	0.804014
Chr7	157050001	157100000	0.839538
Chr7	166050001	166100000	0.84664
Chr8	22500001	22550000	0.854015
Chr8	26550001	26600000	0.812429
Chr8	39100001	39150000	0.810191
Chr8	55800001	55850000	0.811927
Chr8	56850001	56900000	0.815062
Chr8	60750001	60800000	0.829522
Chr8	68350001	68400000	0.827729
Chr8	68400001	68450000	0.815261
Chr8	74600001	74650000	0.803233
Chr8	92900001	92950000	0.806505
Chr8	99400001	99450000	0.820392
Chr9	11750001	11800000	0.851767
Chr9	15100001	15150000	0.819915
Chr9	21600001	21650000	0.833333
Chr9	21650001	21700000	0.924528
Chr9	21750001	21800000	0.853659
Chr9	21850001	21900000	0.866119
Chr9	21900001	21950000	0.811224
Chr9	22050001	22100000	0.807018
Chr9	22100001	22150000	0.861982
Chr9	22500001	22550000	0.865409
Chr9	35550001	35600000	0.823529
Chr9	44600001	44650000	0.803279
Chr9	44650001	44700000	0.851528
Chr9	61500001	61550000	0.89781
Chr9	62050001	62100000	0.939479
Chr9	66000001	66050000	0.87291
Chr9	66700001	66750000	0.811847
Chr9	67000001	67050000	0.84392
Chr9	88950001	89000000	0.821429
Chr9	89000001	89050000	0.812375
Chr9	89950001	90000000	0.809863
Chr9	90000001	90050000	0.820663
Chr9	91400001	91450000	0.815534
Chr9	91450001	91500000	0.906494
Chr9	91500001	91550000	0.835294
Chr9	91550001	91600000	0.926848
Chr9	93950001	94000000	0.824074
Chr9	98100001	98150000	0.84
Chr9	98600001	98650000	0.874286
Chr9	98650001	98700000	0.809917
Chr9	99250001	99300000	0.837154
Chr9	99650001	99700000	0.821387
Chr9	100700001	100750000	0.866051
Chr9	122150001	122200000	0.815498
Chr9	130750001	130800000	0.84795
Chr10	15250001	15300000	0.892902
Chr10	15300001	15350000	0.863168
Chr10	27450001	27500000	0.861027
Chr10	30400001	30450000	0.881081
Chr10	31000001	31050000	0.810931
Chr10	35300001	35350000	0.8157
Chr10	35650001	35700000	0.831538
Chr10	55700001	55750000	0.815961
Chr10	64200001	64250000	0.856909
Chr10	64450001	64500000	0.803714
Chr10	66100001	66150000	0.831041
Chr10	66700001	66750000	0.814961
Chr10	72450001	72500000	0.826683
Chr10	72500001	72550000	0.864317
Chr10	72550001	72600000	0.809617
Chr10	72700001	72750000	0.858586
Chr10	72750001	72800000	0.865136
Chr10	72800001	72850000	0.80805
Chr10	72850001	72900000	0.818182
Chr10	73000001	73050000	0.877729
Chr10	73050001	73100000	0.889655
Chr10	74800001	74850000	0.89889
Chr10	74850001	74900000	0.894071
Chr10	76500001	76550000	0.952703
Chr10	83300001	83350000	0.818182
Chr11	14550001	14600000	Chr1
Chr11	32000001	32050000	0.807692
Chr11	42850001	42900000	0.843674
Chr11	42900001	42950000	0.954853
Chr11	42950001	43000000	0.8941
Chr11	43000001	43050000	0.915171
Chr11	43050001	43100000	0.946429
Chr11	43100001	43150000	0.920344
Chr11	46150001	46200000	0.853736
Chr11	46200001	46250000	0.812709
Chr11	47700001	47750000	0.803238
Chr11	48050001	48100000	0.882353
Chr11	50200001	50250000	0.839637
Chr11	54550001	54600000	0.842697
Chr11	54600001	54650000	0.839391
Chr11	54650001	54700000	0.857143
Chr11	54750001	54800000	0.803456
Chr11	63300001	63350000	0.880795
Chr11	73900001	73950000	0.902655
Chr11	85350001	85400000	0.80117
Chr11	86500001	86550000	0.879469
Chr11	86550001	86600000	0.824411
Chr11	87350001	87400000	0.865854
Chr11	101550001	101600000	0.849944
Chr11	103950001	104000000	0.850746
Chr11	113350001	113400000	0.818182
Chr11	113400001	113450000	0.813715
Chr11	117950001	118000000	0.80471
Chr11	118050001	118100000	0.821488
Chr12	11700001	11750000	0.832675
Chr12	17250001	17300000	0.849956
Chr12	21550001	21600000	0.85641
Chr12	21600001	21650000	0.829001
Chr12	24250001	24300000	0.900288
Chr12	24300001	24350000	0.855237
Chr12	24900001	24950000	0.825503
Chr12	25000001	25050000	0.89049
Chr12	29000001	29050000	0.812215
Chr12	30600001	30650000	0.818596
Chr12	32900001	32950000	0.847403
Chr12	33200001	33250000	0.821109
Chr12	37650001	37700000	0.82716
Chr12	44300001	44350000	0.854305
Chr12	44350001	44400000	0.860624
Chr12	44400001	44450000	0.822064
Chr12	50150001	50200000	0.859247
Chr12	59350001	59400000	0.809396
Chr12	61100001	61150000	0.843081
Chr12	66050001	66100000	0.818182
Chr12	66100001	66150000	0.818182
Chr12	68400001	68450000	0.803647
Chr12	94550001	94600000	0.824875
Chr12	96500001	96550000	0.83056
Chr12	96550001	96600000	0.827266
Chr12	105550001	105600000	0.856972
Chr12	105600001	105650000	0.86369
Chr13	37700001	37750000	0.835801
Chr13	41500001	41550000	0.831508
Chr13	42800001	42850000	0.826573
Chr13	43150001	43200000	0.801094
Chr13	58600001	58650000	0.808715
Chr13	60950001	61000000	0.810414
Chr13	62150001	62200000	0.833333
Chr13	63250001	63300000	0.837901
Chr13	63450001	63500000	0.836478
Chr13	63600001	63650000	0.805714
Chr13	64100001	64150000	0.855569
Chr13	68000001	68050000	0.823678
Chr13	68500001	68550000	0.828571
Chr13	72550001	72600000	0.821585
Chr13	72600001	72650000	0.851992
Chr13	73750001	73800000	0.84
Chr13	76600001	76650000	0.851429
Chr13	76650001	76700000	0.816555
Chr13	85650001	85700000	0.830769
Chr14	2500001	2550000	0.805447
Chr14	8000001	8050000	0.846873
Chr14	8050001	8100000	0.872792
Chr14	8950001	9000000	0.808429
Chr14	10950001	11000000	0.829146
Chr14	36250001	36300000	0.860624
Chr14	36300001	36350000	0.881674
Chr14	36350001	36400000	0.820433
Chr14	40250001	40300000	0.841311
Chr14	40300001	40350000	0.864407
Chr14	40350001	40400000	0.881679
Chr14	40400001	40450000	0.907551
Chr14	40450001	40500000	0.837429
Chr14	40600001	40650000	0.846154
Chr14	43450001	43500000	0.821538
Chr14	43500001	43550000	0.85208
Chr14	43600001	43650000	0.907965
Chr14	43650001	43700000	0.856311
Chr14	43700001	43750000	0.832717
Chr14	43750001	43800000	0.927114
Chr14	43800001	43850000	0.878158
Chr14	43850001	43900000	0.886914
Chr14	43900001	43950000	0.940741
Chr14	43950001	44000000	0.912536
Chr14	44000001	44050000	0.878838
Chr14	55100001	55150000	0.819453
Chr14	55200001	55250000	0.804878
Chr14	56100001	56150000	0.823129
Chr14	56250001	56300000	0.802684
Chr14	59400001	59450000	0.800525
Chr14	62350001	62400000	0.818182
Chr14	63800001	63850000	0.915152
Chr14	63850001	63900000	0.804255
Chr14	66200001	66250000	0.84821
Chr14	66350001	66400000	0.808219
Chr14	71100001	71150000	0.804774
Chr14	83600001	83650000	0.808447
Chr14	84250001	84300000	0.90491
Chr14	109350001	109400000	0.831748
Chr14	118150001	118200000	0.818182
Chr14	119400001	119450000	0.825983
Chr15	11850001	11900000	0.841478
Chr15	12400001	12450000	0.833684
Chr15	12450001	12500000	0.873047
Chr15	12500001	12550000	0.814893
Chr15	12600001	12650000	0.839228
Chr15	12700001	12750000	0.807757
Chr15	12750001	12800000	0.853577
Chr15	13600001	13650000	0.802817
Chr15	20050001	20100000	0.820823
Chr15	27300001	27350000	0.805714
Chr15	28450001	28500000	0.930168
Chr15	33550001	33600000	0.815951
Chr15	37150001	37200000	0.830986
Chr15	37300001	37350000	0.811695
Chr15	37400001	37450000	0.838617
Chr15	41050001	41100000	0.846857
Chr15	41100001	41150000	0.843508
Chr15	41150001	41200000	0.804067
Chr15	41900001	41950000	0.873418
Chr15	44500001	44550000	0.828358
Chr15	44550001	44600000	0.80791
Chr15	45000001	45050000	0.816695
Chr15	45050001	45100000	0.807407
Chr15	49400001	49450000	0.866213
Chr15	53100001	53150000	0.83826
Chr15	60500001	60550000	0.806723
Chr15	62250001	62300000	0.88191
Chr15	66100001	66150000	0.820789
Chr15	71700001	71750000	0.832492
Chr15	71950001	72000000	0.814925
Chr15	74750001	74800000	0.801087
Chr15	74800001	74850000	0.813025
Chr16	25350001	25400000	0.814925
Chr16	25450001	25500000	0.806061
Chr16	25600001	25650000	0.866001
Chr16	25700001	25750000	0.809672
Chr16	32400001	32450000	0.877551
Chr16	45800001	45850000	0.808989
Chr16	47600001	47650000	0.873418
Chr16	47850001	47900000	0.843091
Chr16	49350001	49400000	0.837297
Chr16	56100001	56150000	0.820946
Chr16	58650001	58700000	0.860724
Chr16	58750001	58800000	0.87619
Chr16	58800001	58850000	0.886525
Chr16	60800001	60850000	0.858621
Chr16	61150001	61200000	0.854749
Chr16	62150001	62200000	0.836378
Chr16	64500001	64550000	0.80876
Chr16	79750001	79800000	0.802289
Chr17	12200001	12250000	0.800491
Chr17	43950001	44000000	0.897106
Chr17	62550001	62600000	0.827368
Chr17	75500001	75550000	0.813084
Chr18	20000001	20050000	0.804878
Chr18	40800001	40850000	0.809886
Chr19	12950001	13000000	0.875798
Chr19	14000001	14050000	0.870091
Chr19	14800001	14850000	0.921442
Chr19	34700001	34750000	0.818182
Chr19	45950001	46000000	0.969789
Chr19	48650001	48700000	0.872288
Chr19	53200001	53250000	0.869365
Chr19	61700001	61750000	0.839721
Chr19	63300001	63350000	0.83691
Chr19	63350001	63400000	0.816659
Chr19	63600001	63650000	0.80615
Chr20	3800001	3850000	0.872
Chr20	14250001	14300000	0.831243
Chr20	14300001	14350000	0.920541
Chr20	14350001	14400000	0.856242
Chr20	14650001	14700000	0.839704
Chr20	28900001	28950000	0.896657
Chr20	28950001	29000000	0.9
Chr20	47100001	47150000	0.821764
Chr20	65550001	65600000	0.845511
Chr20	65600001	65650000	0.825293
Chr20	65650001	65700000	0.837088
Chr20	65800001	65850000	0.820588
Chr20	65850001	65900000	0.805714
Chr20	66050001	66100000	0.821036
Chr20	66150001	66200000	0.824149
Chr20	66200001	66250000	0.848462
Chr20	66400001	66450000	0.870968
Chr20	66500001	66550000	0.878863
Chr20	68050001	68100000	0.828022
Chr20	69900001	69950000	0.831097
Chr20	69950001	70000000	0.912704
Chr20	70000001	70050000	0.918438
Chr20	70050001	70100000	0.932673
Chr20	70100001	70150000	0.851735
Chr20	72750001	72800000	0.955347
ChrX	250001	300000	0.830619
ChrX	400001	450000	0.906826
ChrX	600001	650000	0.806623
ChrX	4900001	4950000	0.830859
ChrX	7850001	7900000	0.802889
ChrX	8200001	8250000	0.8688
ChrX	8250001	8300000	0.820557
ChrX	8450001	8500000	0.828137
ChrX	8500001	8550000	0.878158
ChrX	8550001	8600000	0.853333
ChrX	8800001	8850000	0.822181
ChrX	8850001	8900000	0.8
ChrX	9950001	10000000	0.915194
ChrX	14700001	14750000	0.859627
ChrX	14900001	14950000	0.917355
ChrX	14950001	15000000	0.822222
ChrX	15650001	15700000	0.809798
ChrX	15700001	15750000	0.825705
ChrX	16000001	16050000	0.851735
ChrX	16250001	16300000	0.836969
ChrX	16300001	16350000	0.956436
ChrX	16350001	16400000	0.933333
ChrX	17500001	17550000	0.812554
ChrX	17600001	17650000	0.874126
ChrX	17650001	17700000	0.825581
ChrX	17700001	17750000	0.802817
ChrX	17950001	18000000	0.880126
ChrX	18000001	18050000	0.88303
ChrX	18250001	18300000	0.801527
ChrX	18400001	18450000	0.873874
ChrX	18600001	18650000	0.8496
ChrX	18700001	18750000	0.824
ChrX	18750001	18800000	0.870504
ChrX	18800001	18850000	0.868726
ChrX	18850001	18900000	0.923077
ChrX	18900001	18950000	0.94621
ChrX	18950001	19000000	0.92126
ChrX	19000001	19050000	0.850746
ChrX	19050001	19100000	0.946524
ChrX	19100001	19150000	0.942857
ChrX	19200001	19250000	0.885584
ChrX	19300001	19350000	0.836538
ChrX	19400001	19450000	0.826281
ChrX	19600001	19650000	0.827476
ChrX	20000001	20050000	0.803051
ChrX	21300001	21350000	0.861702
ChrX	21750001	21800000	0.822142
ChrX	21800001	21850000	0.93007
ChrX	21950001	22000000	0.913043
ChrX	22550001	22600000	0.875849
ChrX	22600001	22650000	0.865854
ChrX	22750001	22800000	0.857741
ChrX	22800001	22850000	0.872029
ChrX	23550001	23600000	0.85489
ChrX	23600001	23650000	0.846154
ChrX	23750001	23800000	0.827768
ChrX	23900001	23950000	0.84022
ChrX	24650001	24700000	0.83427
ChrX	24800001	24850000	0.853871
ChrX	24850001	24900000	0.85962
ChrX	25600001	25650000	0.837969
ChrX	25800001	25850000	0.804484
ChrX	25850001	25900000	0.802645
ChrX	25900001	25950000	0.818182
ChrX	26350001	26400000	0.823256
ChrX	26400001	26450000	0.811765
ChrX	26500001	26550000	0.944751
ChrX	27000001	27050000	0.809729
ChrX	27100001	27150000	0.823322
ChrX	27300001	27350000	0.837997
ChrX	29750001	29800000	0.834061
ChrX	30250001	30300000	0.896613
ChrX	30300001	30350000	0.910738
ChrX	30350001	30400000	0.84456
ChrX	30500001	30550000	0.838665
ChrX	31250001	31300000	0.810651
ChrX	31300001	31350000	0.899144
ChrX	31350001	31400000	0.823893
ChrX	39350001	39400000	0.842697
ChrX	39650001	39700000	0.92126
ChrX	43650001	43700000	0.826193
ChrX	43950001	44000000	0.855908
ChrX	44350001	44400000	0.810945
ChrX	45400001	45450000	0.801117
ChrX	45950001	46000000	0.856392
ChrX	46000001	46050000	0.880399
ChrX	48950001	49000000	0.868922
ChrX	50900001	50950000	0.813953
ChrX	53000001	53050000	0.84
ChrX	53050001	53100000	0.862069
ChrX	53150001	53200000	0.801527
ChrX	54100001	54150000	0.856061
ChrX	54300001	54350000	0.819978
ChrX	55150001	55200000	0.863874
ChrX	56000001	56050000	0.92126
ChrX	56100001	56150000	0.95122
ChrX	56150001	56200000	Chr1
ChrX	63050001	63100000	Chr1
ChrX	63500001	63550000	0.836066
ChrX	63650001	63700000	0.931034
ChrX	63850001	63900000	0.844504
ChrX	64100001	64150000	0.858012
ChrX	64150001	64200000	0.931034
ChrX	64200001	64250000	0.888889
ChrX	64300001	64350000	0.811075
ChrX	64350001	64400000	0.949749
ChrX	64500001	64550000	Chr1
ChrX	65400001	65450000	0.854305
ChrX	65450001	65500000	0.840617
ChrX	65500001	65550000	0.83308
ChrX	65600001	65650000	0.933333
ChrX	65650001	65700000	0.86802
ChrX	66450001	66500000	0.800434
ChrX	66550001	66600000	0.875
ChrX	67100001	67150000	0.918977
ChrX	67150001	67200000	0.884471
ChrX	67200001	67250000	0.813872
ChrX	67250001	67300000	0.877551
ChrX	67400001	67450000	0.832258
ChrX	67450001	67500000	0.942857
ChrX	69600001	69650000	0.874659
ChrX	70550001	70600000	0.861386
ChrX	72800001	72850000	0.808219
ChrX	72900001	72950000	0.823088
ChrX	73300001	73350000	0.842842
ChrX	73600001	73650000	0.818182
ChrX	73650001	73700000	0.876106
ChrX	74350001	74400000	0.814361
ChrX	74400001	74450000	0.801047
ChrX	74950001	75000000	0.847534
ChrX	75000001	75050000	0.917197
ChrX	75050001	75100000	0.945044
ChrX	75100001	75150000	0.849879
ChrX	76050001	76100000	0.847176
ChrX	76850001	76900000	0.812658
ChrX	76900001	76950000	0.801802
ChrX	77000001	77050000	0.902913
ChrX	79700001	79750000	0.886364
ChrX	79750001	79800000	0.838371
ChrX	80050001	80100000	0.805844
ChrX	81250001	81300000	0.806094
ChrX	82250001	82300000	0.836066
ChrX	83200001	83250000	0.874608
ChrX	83300001	83350000	0.866667
ChrX	84650001	84700000	0.842529
ChrX	89500001	89550000	0.874852
ChrX	94200001	94250000	0.830508
ChrX	94250001	94300000	0.868421
ChrX	94300001	94350000	0.876106
ChrX	94400001	94450000	0.903743
ChrX	94450001	94500000	0.945205
ChrX	94700001	94750000	0.911297
ChrX	94750001	94800000	0.836478
ChrX	95800001	95850000	0.804697
ChrX	96150001	96200000	0.930657
ChrX	100500001	100550000	0.849462
ChrX	100900001	100950000	0.869034
ChrX	100950001	101000000	0.802817
ChrX	101000001	101050000	0.939914
ChrX	101050001	101100000	0.828947
ChrX	101150001	101200000	0.871921
ChrX	103500001	103550000	0.855823
ChrX	103550001	103600000	0.871921
ChrX	103650001	103700000	0.812215
ChrX	104150001	104200000	0.829436
ChrX	104700001	104750000	0.806678
ChrX	104850001	104900000	0.858025
ChrX	104900001	104950000	0.848606
ChrX	104950001	105000000	0.854763
ChrX	105000001	105050000	0.848276
ChrX	105050001	105100000	0.906103
ChrX	105100001	105150000	0.954262
ChrX	105150001	105200000	0.871203
ChrX	105200001	105250000	0.854118
ChrX	105250001	105300000	0.83691
ChrX	105300001	105350000	0.818182
ChrX	105350001	105400000	0.825068
ChrX	105400001	105450000	0.81203
ChrX	105450001	105500000	0.85214
ChrX	105550001	105600000	0.863219
ChrX	105600001	105650000	0.858855
ChrX	105750001	105800000	0.806452
ChrX	105800001	105850000	0.855319
ChrX	105850001	105900000	0.839784
ChrX	105900001	105950000	0.803468
ChrX	106850001	106900000	0.88027
ChrX	107650001	107700000	0.821718
ChrX	107700001	107750000	0.857506
ChrX	107750001	107800000	0.855908
ChrX	107800001	107850000	0.866416
ChrX	107850001	107900000	0.904972
ChrX	107950001	108000000	0.818182
ChrX	109500001	109550000	0.804535
ChrX	110150001	110200000	0.889039
ChrX	113950001	114000000	0.893462
ChrX	114150001	114200000	0.896043
ChrX	116550001	116600000	0.811075
ChrX	117550001	117600000	0.905237
ChrX	119750001	119800000	0.810811
ChrX	120100001	120150000	0.86087
ChrX	120150001	120200000	0.809524
ChrX	120400001	120450000	0.851198
ChrX	122250001	122300000	0.921788
ChrX	122300001	122350000	0.888071
ChrX	122350001	122400000	0.914286
ChrX	122400001	122450000	0.895967
ChrX	122550001	122600000	0.877382
ChrX	122750001	122800000	0.877039
ChrX	122800001	122850000	0.869416
ChrX	122850001	122900000	0.898477
ChrX	123200001	123250000	0.831111
ChrX	123850001	123900000	0.845272
ChrX	124100001	124150000	0.836364
ChrX	128650001	128700000	0.8125
ChrX	129500001	129550000	0.840592
ChrX	129550001	129600000	0.864769
ChrX	130250001	130300000	0.846575
ChrX	130450001	130500000	0.880998
ChrX	130550001	130600000	0.834711
ChrX	130600001	130650000	0.915789
